"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"CC Sabathia","- - -","17","10","0","35","35","253.0","8.93","2.10","0.68",".297","77.7 %","46.6 %","8.8 %","2.70","2.91","3.06","7.3","404"
"Tim Lincecum","Giants","18","5","0","34","33","227.0","10.51","3.33","0.44",".304","77.9 %","43.9 %","5.6 %","2.62","2.62","3.12","7.1","5705"
"Roy Halladay","Blue Jays","20","11","0","34","33","246.0","7.54","1.43","0.66",".284","74.5 %","53.7 %","9.4 %","2.78","3.03","3.11","6.8","1303"
"Cliff Lee","Indians","22","3","0","31","31","223.1","6.85","1.37","0.48",".301","78.3 %","45.9 %","5.1 %","2.54","2.83","3.52","6.7","1636"
"Dan Haren","Diamondbacks","16","8","0","33","33","216.0","8.58","1.67","0.79",".303","73.4 %","44.2 %","8.9 %","3.33","3.01","3.16","6.2","1757"
"Ervin Santana","Angels","16","7","0","32","32","219.0","8.79","1.93","0.95",".289","74.3 %","38.8 %","8.9 %","3.49","3.30","3.48","5.5","3200"
"Brandon Webb","Diamondbacks","22","7","0","34","34","226.2","7.27","2.58","0.52",".288","71.0 %","64.4 %","9.6 %","3.30","3.28","3.33","5.5","1692"
"Johan Santana","Mets","16","7","0","34","34","234.1","7.91","2.42","0.88",".274","82.6 %","41.2 %","9.4 %","2.53","3.51","3.61","5.3","755"
"A.J. Burnett","Blue Jays","18","10","0","35","34","221.1","9.39","3.50","0.77",".314","70.5 %","48.5 %","9.7 %","4.07","3.45","3.49","5.1","512"
"Derek Lowe","Dodgers","14","11","0","34","34","211.0","6.27","1.92","0.60",".280","70.8 %","60.3 %","9.5 %","3.24","3.26","3.32","4.8","199"
"John Danks","White Sox","12","9","0","33","33","195.0","7.34","2.63","0.69",".293","76.1 %","42.8 %","7.4 %","3.32","3.44","3.82","4.8","6329"
"Cole Hamels","Phillies","14","10","0","33","33","227.1","7.76","2.10","1.11",".259","76.0 %","39.5 %","11.2 %","3.09","3.72","3.58","4.8","4972"
"Ben Sheets","Brewers","13","9","0","31","31","198.1","7.17","2.13","0.77",".278","75.5 %","40.6 %","7.0 %","3.09","3.38","3.88","4.7","710"
"Javier Vazquez","White Sox","12","16","0","33","33","208.1","8.64","2.64","1.08",".316","68.3 %","38.2 %","9.8 %","4.67","3.74","3.79","4.7","801"
"Ryan Dempster","Cubs","17","6","0","33","33","206.2","8.14","3.31","0.61",".280","76.7 %","48.1 %","7.7 %","2.96","3.41","3.69","4.7","517"
"Mike Mussina","Yankees","20","9","0","34","34","200.1","6.74","1.39","0.76",".321","73.3 %","48.5 %","9.2 %","3.37","3.32","3.43","4.6","837"
"Rich Harden","- - -","10","2","0","25","25","148.0","11.01","3.71","0.67",".251","84.4 %","30.0 %","6.5 %","2.07","2.95","3.50","4.5","1772"
"Aaron Cook","Rockies","16","9","0","32","32","211.1","4.09","2.04","0.55",".308","68.9 %","55.9 %","7.6 %","3.96","3.76","4.02","4.4","1571"
"Chad Billingsley","Dodgers","16","10","0","35","32","200.2","9.01","3.59","0.63",".313","78.0 %","49.0 %","8.1 %","3.14","3.35","3.58","4.4","5842"
"Edinson Volquez","Reds","17","6","0","33","32","196.0","9.46","4.27","0.64",".299","75.5 %","46.3 %","8.0 %","3.21","3.60","3.84","4.2","3990"
"Gil Meche","Royals","14","11","0","34","34","210.1","7.83","3.12","0.81",".303","71.5 %","39.2 %","7.9 %","3.98","3.61","3.94","4.2","1089"
"Zack Greinke","Royals","13","10","0","32","32","202.1","8.14","2.49","0.93",".308","75.2 %","42.7 %","9.1 %","3.47","3.56","3.71","4.2","1943"
"Mark Buehrle","White Sox","15","12","0","34","34","218.2","5.76","2.14","0.91",".312","71.8 %","49.6 %","9.9 %","3.79","3.94","3.98","4.2","225"
"Josh Beckett","Red Sox","12","10","0","27","27","174.1","8.88","1.76","0.93",".315","71.3 %","40.8 %","10.5 %","4.03","3.24","3.19","4.1","510"
"Jon Lester","Red Sox","16","6","0","33","33","210.1","6.50","2.82","0.60",".297","77.4 %","47.5 %","7.0 %","3.21","3.64","4.02","4.1","4930"
"Ricky Nolasco","Marlins","15","8","0","34","32","212.1","7.88","1.78","1.19",".271","75.7 %","38.7 %","10.7 %","3.52","3.77","3.68","4.0","3830"
"Ubaldo Jimenez","Rockies","12","12","0","34","34","198.2","7.79","4.67","0.50",".299","70.8 %","54.4 %","6.9 %","3.99","3.83","4.16","3.8","3374"
"Jair Jurrjens","Braves","13","10","0","31","31","188.1","6.64","3.35","0.53",".301","71.0 %","51.7 %","7.1 %","3.68","3.59","3.92","3.8","5556"
"Andy Pettitte","Yankees","14","14","0","33","33","204.0","6.97","2.43","0.84",".333","68.2 %","51.5 %","10.3 %","4.54","3.71","3.68","3.8","840"
"James Shields","Rays","14","8","0","33","33","215.0","6.70","1.67","1.00",".287","73.3 %","46.3 %","9.8 %","3.56","3.82","3.87","3.8","7059"
"Randy Johnson","Diamondbacks","11","10","0","30","30","184.0","8.46","2.15","1.17",".301","70.9 %","40.2 %","10.8 %","3.91","3.76","3.66","3.7","60"
"Roy Oswalt","Astros","17","10","0","32","32","208.2","7.12","2.03","0.99",".285","74.6 %","50.3 %","12.7 %","3.54","3.80","3.51","3.7","571"
"Matt Cain","Giants","8","14","0","34","34","217.2","7.69","3.76","0.79",".297","75.3 %","33.2 %","6.9 %","3.76","3.91","4.45","3.7","4732"
"Jake Peavy","Padres","10","11","0","27","27","173.2","8.60","3.06","0.88",".279","82.2 %","40.6 %","9.7 %","2.85","3.60","3.65","3.6","1051"
